"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"678","left","no","54378","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","200","1","0","blur","yes"
"511","left","yes","56402","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","200","2","0","blur","yes"
"null","left","no","59165","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","undefined","false","150","3","0","focus","yes"
"235","right","no","60913","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","150","4","0","focus","yes"
"1223","right","yes","63649","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","150","5","0","focus","yes"
"923","right","no","66087","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","true","100","6","0","focus","yes"
"880","right","no","68504","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","100","7","0","focus","yes"
"701","left","no","70719","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","100","8","0","focus","yes"
"1165","left","no","73399","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","100","9","0","focus","yes"
"null","left","no","76197","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","undefined","false","100","10","0","focus","yes"
"308","right","no","78019","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","100","11","0","focus","yes"
"1166","left","yes","80698","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","100","12","0","focus","yes"
"572","right","no","82809","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","true","50","13","0","focus","yes"
"null","right","yes","85574","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","undefined","true","50","14","0","focus","yes"
"1144","left","no","88252","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","100","15","0","focus","yes"
"1118","right","no","90883","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","100","16","0","focus","yes"
"193","left","no","92587","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","j","false","100","17","0","focus","yes"
"null","right","yes","95345","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","undefined","true","100","18","0","focus","yes"
"677","right","no","97559","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","k3zhweaymlnabr54pyd0kadolgregao3","f","false","150","19","0","focus","yes"
