"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"null","right","no","35432","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","undefined","false","200","1","0","blur","yes"
"628","right","no","37588","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","200","2","0","blur","yes"
"862","right","no","39964","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","true","200","3","0","blur","yes"
"null","left","yes","42734","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","undefined","true","200","4","0","blur","yes"
"137","left","no","44381","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","250","5","0","blur","yes"
"125","left","no","46022","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","true","250","6","0","blur","yes"
"null","left","no","48790","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","undefined","false","250","7","0","blur","yes"
"359","right","yes","50664","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","250","8","0","blur","yes"
"367","right","no","52546","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","200","9","0","blur","yes"
"1166","right","yes","55226","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","200","10","0","blur","yes"
"908","right","no","57650","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","150","11","0","blur","yes"
"267","left","no","59459","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","150","12","0","blur","yes"
"1229","left","yes","62201","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","150","13","0","blur","yes"
"674","right","no","65513","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","true","100","14","0","blur","yes"
"null","left","no","68278","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","undefined","false","100","15","0","blur","yes"
"429","left","no","70223","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","100","16","0","blur","yes"
"531","left","no","72269","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","true","100","17","0","blur","yes"
"516","right","no","74299","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","true","100","18","0","blur","yes"
"null","right","yes","77091","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","undefined","true","100","19","0","blur","yes"
"585","right","no","79187","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","150","20","0","blur","yes"
"480","left","yes","81178","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","150","21","0","blur","yes"
"1006","left","no","83707","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","100","22","0","blur","yes"
"2206","right","no","87434","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","f","false","100","23","0","blur","yes"
"292","left","no","89810","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","nltkjehnof34znbau5tethk9p4zla8jv","j","false","100","24","0","blur","yes"
