"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"540","left","yes","69528","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","200","1","0","blur","yes"
"318","right","no","71352","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","150","2","0","blur","yes"
"681","left","no","73549","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","150","3","0","blur","yes"
"null","left","no","76308","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","150","4","0","blur","yes"
"544","right","no","78359","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","150","5","0","blur","yes"
"286","right","no","80157","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","150","6","0","blur","yes"
"1094","left","no","82762","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","150","7","0","blur","yes"
"588","right","yes","84878","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","150","8","0","blur","yes"
"1027","right","no","87436","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","100","9","0","blur","yes"
"756","left","yes","89706","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","100","10","0","blur","yes"
"null","right","yes","92469","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","true","50","11","0","blur","yes"
"377","left","no","94369","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","100","12","0","blur","yes"
"250","right","no","96128","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","100","13","0","blur","yes"
"966","left","no","98617","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","100","14","0","blur","yes"
"null","right","no","101377","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","100","15","0","blur","yes"
"415","left","no","103299","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","100","16","0","blur","yes"
"1044","right","no","105848","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","100","17","0","blur","yes"
"554","right","no","107908","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","100","18","0","blur","yes"
"null","right","yes","110678","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","true","100","19","0","blur","yes"
"251","left","no","112437","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","150","20","0","blur","yes"
"691","left","no","114638","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","150","21","0","blur","yes"
"187","right","no","116340","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","150","22","0","blur","yes"
"null","left","no","119108","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","150","23","0","blur","yes"
"323","left","yes","120944","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","150","24","0","blur","yes"
"814","right","no","123269","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","100","25","0","blur","yes"
"1170","right","yes","125961","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","100","26","0","blur","yes"
"703","left","no","128177","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","50","27","0","blur","yes"
"182","left","yes","129882","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","50","28","0","blur","yes"
"1194","right","no","132592","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","50","29","0","blur","yes"
"886","left","no","134982","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","50","30","0","blur","yes"
"1248","left","no","137741","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","50","31","0","blur","yes"
"650","right","no","139901","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","50","32","0","blur","yes"
"996","left","yes","159987","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","50","1","1","blur","yes"
"324","right","no","161070","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","50","2","1","blur","yes"
"1087","left","no","162915","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","50","3","1","blur","yes"
"726","right","yes","164399","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","50","4","1","blur","yes"
"989","left","no","166157","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","50","5","1","blur","yes"
"null","right","no","168165","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","50","6","1","blur","yes"
"543","left","no","169497","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","true","50","7","1","blur","yes"
"781","right","no","171032","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","true","50","8","1","blur","yes"
"null","right","no","173043","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","50","9","1","blur","yes"
"285","left","yes","174084","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","50","10","1","blur","yes"
"null","right","no","176099","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","50","11","1","blur","yes"
"194","right","no","177045","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","50","12","1","blur","yes"
"null","left","no","179101","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","50","13","1","blur","yes"
"594","right","yes","180451","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","f","false","50","14","1","blur","yes"
"332","left","no","181543","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","j","false","50","15","1","blur","yes"
"null","left","no","183549","Firefox","148.0","macOS","10.15","undefined","undefined","1920 x 1080","954 x 1080","gk7m2tddfv0t2ar3tolucs3nzb9wa721","undefined","false","50","16","1","blur","yes"
