"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"334","right","no","13087","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","200","1","0","focus","yes"
"null","right","no","15855","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","undefined","false","200","2","0","focus","yes"
"461","left","no","17829","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","true","200","3","0","focus","yes"
"824","right","yes","20194","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","200","4","0","focus","yes"
"239","left","no","21942","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","false","150","5","0","focus","yes"
"1080","right","no","24537","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","150","6","0","focus","yes"
"null","left","no","27300","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","undefined","false","150","7","0","focus","yes"
"159","left","yes","28970","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","false","150","8","0","focus","yes"
"190","left","no","30670","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","true","100","9","0","focus","yes"
"1057","right","no","33236","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","true","100","10","0","focus","yes"
"null","left","no","36002","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","undefined","false","100","11","0","focus","yes"
"544","right","no","38055","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","100","12","0","focus","yes"
"617","right","no","40187","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","true","100","13","0","focus","yes"
"427","left","no","42121","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","false","100","14","0","focus","yes"
"1230","right","yes","44868","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","j","false","100","15","0","focus","yes"
"568","left","yes","46947","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","50","16","0","focus","yes"
"946","left","yes","49402","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","50","17","0","focus","yes"
"1108","right","yes","52023","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","false","50","18","0","focus","yes"
"973","left","no","54510","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","xu62ern932z179uc5n8bgzkmps3nvpe9","f","true","50","19","0","focus","yes"
