"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"299","right","no","14970","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","200","1","0","focus","yes"
"null","left","no","17740","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","200","2","0","focus","yes"
"182","right","yes","19429","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","200","3","0","focus","yes"
"991","right","no","21933","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","150","4","0","focus","yes"
"892","left","no","24334","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","150","5","0","focus","yes"
"570","left","no","26413","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","150","6","0","focus","yes"
"null","right","no","29175","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","150","7","0","focus","yes"
"378","left","yes","31062","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","150","8","0","focus","yes"
"955","left","yes","33530","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","100","9","0","focus","yes"
"392","right","no","35430","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","10","0","focus","yes"
"1209","left","no","38152","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","11","0","focus","yes"
"595","left","no","40266","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","12","0","focus","yes"
"1114","left","no","42908","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","13","0","focus","yes"
"null","right","no","45674","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","14","0","focus","yes"
"132","right","no","47315","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","15","0","focus","yes"
"334","right","yes","49174","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","16","0","focus","yes"
"null","left","yes","51952","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","true","50","17","0","focus","yes"
"144","right","no","53609","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","100","18","0","focus","yes"
"830","right","no","55950","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","100","19","0","focus","yes"
"123","left","no","57583","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","20","0","focus","yes"
"null","left","no","60348","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","100","21","0","focus","yes"
"494","right","no","62355","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","100","22","0","focus","yes"
"378","right","yes","64242","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","100","23","0","focus","yes"
"null","left","no","67015","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","24","0","focus","yes"
"846","right","no","69370","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","25","0","focus","yes"
"null","right","no","72133","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","26","0","focus","yes"
"495","left","no","74140","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","27","0","focus","yes"
"1087","left","no","76738","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","28","0","focus","yes"
"265","right","yes","78518","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","29","0","focus","yes"
"null","left","no","81282","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","30","0","focus","yes"
"219","left","yes","83038","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","31","0","focus","yes"
"891","right","no","85437","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","32","0","focus","yes"
"991","right","no","105864","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","1","1","focus","yes"
"662","right","no","107283","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","2","1","focus","yes"
"164","left","yes","108208","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","3","1","focus","yes"
"null","right","yes","110222","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","true","50","4","1","focus","yes"
"124","left","no","111107","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","5","1","focus","yes"
"1089","left","no","112952","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","100","6","1","focus","yes"
"1220","right","no","114932","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","100","7","1","focus","yes"
"1162","left","no","116856","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","100","8","1","focus","yes"
"1012","left","yes","118621","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","9","1","focus","yes"
"651","right","yes","120027","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","10","1","focus","yes"
"657","right","no","121442","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","11","1","focus","yes"
"null","right","no","123458","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","12","1","focus","yes"
"574","left","no","124789","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","13","1","focus","yes"
"null","right","no","126821","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","14","1","focus","yes"
"112","left","no","127692","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","15","1","focus","yes"
"177","left","no","128627","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","16","1","focus","yes"
"null","right","no","130642","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","17","1","focus","yes"
"416","left","no","131815","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","18","1","focus","yes"
"1130","left","no","133699","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","19","1","focus","yes"
"643","left","no","135103","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","20","1","focus","yes"
"null","right","yes","137112","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","true","50","21","1","focus","yes"
"427","right","no","138294","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","100","22","1","focus","yes"
"997","left","yes","140044","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","23","1","focus","yes"
"338","right","no","141148","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","24","1","focus","yes"
"null","right","no","143158","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","25","1","focus","yes"
"198","right","yes","144137","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","26","1","focus","yes"
"841","right","no","145733","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","27","1","focus","yes"
"484","right","no","146972","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","28","1","focus","yes"
"null","left","yes","148988","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","true","50","29","1","focus","yes"
"342","left","no","150088","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","30","1","focus","yes"
"600","left","no","151444","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","100","31","1","focus","yes"
"969","left","no","153170","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","32","1","focus","yes"
"978","left","yes","154921","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","100","33","1","focus","yes"
"777","left","no","156456","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","34","1","focus","yes"
"541","right","yes","157755","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","35","1","focus","yes"
"null","right","no","159779","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","36","1","focus","yes"
"280","right","no","160818","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","37","1","focus","yes"
"1159","left","no","162736","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","38","1","focus","yes"
"203","right","no","163697","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","39","1","focus","yes"
"null","left","no","165716","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","40","1","focus","yes"
"null","right","no","167725","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","41","1","focus","yes"
"334","left","no","168814","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","42","1","focus","yes"
"890","left","yes","170461","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","43","1","focus","yes"
"781","right","no","172007","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","false","50","44","1","focus","yes"
"null","left","no","174024","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","undefined","false","50","45","1","focus","yes"
"467","right","yes","175252","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","false","50","46","1","focus","yes"
"744","left","no","176758","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","f","true","50","47","1","focus","yes"
"144","right","no","177666","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","2298r3pruqps3ujyd5qrxhvsnbwnrje4","j","true","50","48","1","focus","yes"
