"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"462","right","no","14946","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","f","false","200","1","0","focus","yes"
"576","left","no","17039","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","f","true","200","2","0","focus","yes"
"188","left","no","18739","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","false","200","3","0","focus","yes"
"1222","right","yes","21468","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","f","false","200","4","0","focus","yes"
"939","right","no","23921","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","true","150","5","0","focus","yes"
"1211","right","no","26653","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","true","150","6","0","focus","yes"
"1128","left","no","29288","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","false","150","7","0","focus","yes"
"494","left","yes","31291","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","f","false","150","8","0","focus","yes"
"1228","left","yes","34034","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","false","100","9","0","focus","yes"
"771","right","yes","36335","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","md2mk36vd9anm5hn2tmgyy852u2xaybl","j","false","50","10","0","focus","yes"
