"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"566","right","no","15365","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","200","1","0","focus","yes"
"463","left","no","17349","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","false","200","2","0","focus","yes"
"1255","left","no","20115","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","true","200","3","0","focus","yes"
"958","left","no","22586","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","true","200","4","0","focus","yes"
"940","left","yes","25040","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","200","5","0","focus","yes"
"1017","right","no","27565","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","150","6","0","focus","yes"
"891","right","no","29987","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","150","7","0","focus","yes"
"142","right","yes","31662","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","false","150","8","0","focus","yes"
"1151","right","no","34323","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","100","9","0","focus","yes"
"959","left","no","36795","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","false","100","10","0","focus","yes"
"null","right","yes","39559","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","undefined","true","100","11","0","focus","yes"
"418","left","no","41484","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","false","150","12","0","focus","yes"
"1012","left","yes","44029","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","150","13","0","focus","yes"
"748","right","no","46299","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","true","100","14","0","focus","yes"
"711","right","no","48516","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","true","100","15","0","focus","yes"
"null","left","no","51276","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","undefined","false","100","16","0","focus","yes"
"194","right","no","52979","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","false","100","17","0","focus","yes"
"null","left","no","55748","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","undefined","false","100","18","0","focus","yes"
"671","left","no","57938","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","f","true","100","19","0","focus","yes"
"254","left","yes","59703","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","zoqbc5yovg6b3x2ax13j9shmqjdr62y2","j","false","100","20","0","focus","yes"
