"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"863","left","no","19292","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","j","false","200","1","0","focus","yes"
"489","right","no","21293","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","f","false","200","2","0","focus","yes"
"964","left","no","23771","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","j","false","200","3","0","focus","yes"
"null","right","no","26527","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","undefined","false","200","4","0","focus","yes"
"361","left","yes","28396","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","f","false","200","5","0","focus","yes"
"null","left","no","31164","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","undefined","false","150","6","0","focus","yes"
"594","right","no","33270","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","j","true","150","7","0","focus","yes"
"945","right","yes","35730","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","j","false","150","8","0","focus","yes"
"548","left","yes","37783","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","f","false","100","9","0","focus","yes"
"1220","right","no","40512","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","9lo7otx41l7n3nhesvbave19ltvfdfyz","f","false","50","10","0","focus","yes"
