"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"203","right","yes","14544","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","200","1","0","focus","yes"
"378","right","no","16435","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","150","2","0","focus","yes"
"1229","right","no","19170","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","150","3","0","focus","yes"
"172","left","no","20851","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","150","4","0","focus","yes"
"990","right","no","23371","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","150","5","0","focus","yes"
"1159","left","no","26038","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","150","6","0","focus","yes"
"955","left","no","28501","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","150","7","0","focus","yes"
"1113","left","yes","31136","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","150","8","0","focus","yes"
"null","left","no","33899","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","undefined","false","100","9","0","focus","yes"
"605","left","no","36036","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","100","10","0","focus","yes"
"560","right","yes","38108","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","100","11","0","focus","yes"
"1118","left","yes","40738","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","50","12","0","focus","yes"
"328","right","no","42574","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","50","13","0","focus","yes"
"973","left","no","45062","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","50","14","0","focus","yes"
"647","right","no","47224","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","50","15","0","focus","yes"
"null","right","no","49988","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","undefined","false","50","16","0","focus","yes"
"657","right","no","52159","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","50","17","0","focus","yes"
"null","right","yes","54930","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","undefined","true","50","18","0","focus","yes"
"468","left","no","56926","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","100","19","0","focus","yes"
"736","left","yes","59173","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","100","20","0","focus","yes"
"1175","left","no","61885","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","50","21","0","focus","yes"
"1013","right","no","64408","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","50","22","0","focus","yes"
"626","right","no","66547","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","50","23","0","focus","yes"
"null","left","no","69316","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","undefined","false","50","24","0","focus","yes"
"531","right","no","71360","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","50","25","0","focus","yes"
"262","left","no","73148","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","50","26","0","focus","yes"
"1235","left","no","75901","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","true","50","27","0","focus","yes"
"700","left","yes","78139","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","50","28","0","focus","yes"
"null","right","no","80904","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","undefined","false","50","29","0","focus","yes"
"387","right","yes","82806","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","f","false","50","30","0","focus","yes"
"1055","right","no","85371","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","true","50","31","0","focus","yes"
"780","left","no","87671","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","0vnu1jurkvsx0shqco21kv4ku1vowely","j","false","50","32","0","focus","yes"
