"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"140","right","no","16621","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","200","1","0","focus","yes"
"1041","right","no","19178","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","200","2","0","focus","yes"
"650","left","no","21340","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","true","200","3","0","focus","yes"
"428","left","yes","23279","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","false","200","4","0","focus","yes"
"666","right","no","25487","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","150","5","0","focus","yes"
"null","left","no","28256","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","undefined","false","150","6","0","focus","yes"
"338","right","yes","30105","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","150","7","0","focus","yes"
"870","left","no","32487","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","true","100","8","0","focus","yes"
"715","left","no","34716","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","false","100","9","0","focus","yes"
"895","left","yes","37119","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","100","10","0","focus","yes"
"974","left","no","39631","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","true","50","11","0","focus","yes"
"null","right","no","42402","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","undefined","false","50","12","0","focus","yes"
"204","right","no","44119","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","50","13","0","focus","yes"
"1146","right","yes","46774","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","50","14","0","focus","yes"
"180","left","no","48467","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","false","50","15","0","focus","yes"
"1148","right","no","51123","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","50","16","0","focus","yes"
"729","right","no","53361","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","50","17","0","focus","yes"
"1199","right","yes","56066","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","50","18","0","focus","yes"
"null","left","no","58836","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","undefined","false","50","19","0","focus","yes"
"133","right","no","60483","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","true","50","20","0","focus","yes"
"979","left","no","62970","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","true","50","21","0","focus","yes"
"920","left","yes","65406","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","false","50","22","0","focus","yes"
"588","left","no","67505","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","j","false","50","23","0","focus","yes"
"706","right","no","69728","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","f","false","50","24","0","focus","yes"
"null","left","no","72510","Firefox","147.0","macOS","10.15","undefined","undefined","1920 x 1080","1920 x 1080","039ydlkjqqw7su5ladfobzfq6zvz4y4m","undefined","false","50","25","0","focus","yes"
