"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"496","left","no","60643","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","false","200","1","0","focus","yes"
"128","left","no","62288","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","200","2","0","focus","yes"
"null","right","yes","65052","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","true","200","3","0","blur","yes"
"334","right","no","66900","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","true","250","4","0","blur","yes"
"570","left","yes","68986","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","250","5","0","blur","yes"
"null","right","no","71753","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","false","200","6","0","blur","yes"
"251","right","no","73508","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","true","200","7","0","blur","yes"
"372","left","no","75396","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","200","8","0","blur","yes"
"null","left","yes","78159","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","true","200","9","0","blur","yes"
"204","right","no","79895","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","250","10","0","blur","yes"
"650","right","no","82063","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","250","11","0","blur","yes"
"322","left","no","83905","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","false","250","12","0","blur","yes"
"964","right","yes","86380","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","250","13","0","blur","yes"
"null","right","no","89146","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","false","200","14","0","blur","yes"
"769","left","no","91426","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","false","200","15","0","blur","yes"
"556","left","no","93491","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","200","16","0","blur","yes"
"1013","left","yes","96014","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","200","17","0","blur","yes"
"null","left","no","98802","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","false","150","18","0","blur","yes"
"302","left","no","100641","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","150","19","0","blur","yes"
"989","right","no","103150","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","150","20","0","blur","yes"
"946","right","no","105606","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","150","21","0","blur","yes"
"338","right","no","107487","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","true","150","22","0","blur","yes"
"714","left","no","109712","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","150","23","0","blur","yes"
"1207","right","yes","112430","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","false","150","24","0","blur","yes"
"337","left","no","114276","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","true","100","25","0","blur","yes"
"979","right","no","116763","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","true","100","26","0","blur","yes"
"null","right","yes","119529","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","undefined","true","100","27","0","blur","yes"
"246","left","yes","121283","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","false","150","28","0","blur","yes"
"509","right","no","123298","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","f","false","100","29","0","blur","yes"
"1179","right","no","125988","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","942 x 945","6e17untt4chd3v8tp46go312ej22lh3m","j","true","100","30","0","blur","yes"
