"rt","stim","signal","time_elapsed","browser_name","browser_version","os_name","os_version","tablet","mobile","screen_resolution","window_resolution","participantID","response","correct","SSD","trial_i","block_i","focus","Fullscreen"
"321","right","no","62689","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","200","1","0","focus","yes"
"197","right","yes","64445","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","200","2","0","focus","yes"
"null","left","no","67211","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","150","3","0","focus","yes"
"518","left","yes","69241","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","150","4","0","focus","yes"
"1156","right","no","71909","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","100","5","0","focus","yes"
"1087","left","no","74508","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","100","6","0","focus","yes"
"715","left","no","76731","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","100","7","0","focus","yes"
"934","right","no","79175","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","100","8","0","focus","yes"
"null","right","no","81938","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","100","9","0","focus","yes"
"594","left","yes","84042","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","100","10","0","focus","yes"
"953","right","yes","86520","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","11","0","focus","yes"
"994","left","no","89024","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","12","0","focus","yes"
"970","right","no","91502","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","50","13","0","focus","yes"
"653","right","no","93706","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","14","0","focus","yes"
"null","left","no","96466","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","15","0","focus","yes"
"818","left","no","98794","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","16","0","focus","yes"
"937","left","yes","101249","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","17","0","focus","yes"
"349","right","yes","103108","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","50","18","0","focus","yes"
"null","left","no","105871","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","19","0","focus","yes"
"342","left","no","107722","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","20","0","focus","yes"
"916","left","no","110144","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","21","0","focus","yes"
"126","right","no","111781","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","22","0","focus","yes"
"null","right","no","114543","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","23","0","blur","yes"
"560","right","no","116617","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","24","0","blur","yes"
"313","left","yes","118439","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","50","25","0","blur","yes"
"null","right","no","121202","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","26","0","blur","yes"
"303","right","no","123015","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","27","0","focus","yes"
"642","left","no","125176","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","28","0","focus","yes"
"303","left","no","127010","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","29","0","focus","yes"
"1133","left","no","129675","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","30","0","focus","yes"
"543","right","no","131734","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","31","0","focus","yes"
"null","right","yes","134506","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","true","50","32","0","focus","yes"
"857","left","no","155964","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","100","1","1","focus","yes"
"1001","right","no","157725","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","100","2","1","focus","yes"
"354","left","no","158837","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","100","3","1","focus","yes"
"null","right","no","160845","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","100","4","1","focus","yes"
"155","right","yes","161757","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","100","5","1","focus","yes"
"1117","left","yes","163627","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","6","1","focus","yes"
"665","left","no","165071","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","7","1","focus","yes"
"815","right","no","166639","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","8","1","focus","yes"
"982","left","yes","168376","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","50","9","1","focus","yes"
"null","left","no","170386","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","10","1","focus","yes"
"null","left","no","172404","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","11","1","focus","yes"
"170","right","no","173335","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","true","50","12","1","focus","yes"
"892","right","yes","174985","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","j","false","50","13","1","focus","yes"
"447","left","no","176186","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","true","50","14","1","focus","yes"
"null","right","no","178196","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","undefined","false","50","15","1","focus","yes"
"691","right","no","179648","Firefox","146.0","macOS","10.15","undefined","undefined","1512 x 982","899 x 945","ead2jzu81jz2rku5dadtrbzu7kl8n0ro","f","false","50","16","1","focus","yes"
